Id,tipo,bairro,tipo_vendedor,quartos,suites,vagas,area_util,area_extra,diferenciais,churrasqueira,estacionamento,piscina,playground,quadra,s_festas,s_jogos,s_ginastica,sauna,vista_mar,preco
2087,Apartamento,Boa Viagem,Imobiliaria,2,1,2,101,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,820000
2088,Apartamento,Cordeiro,Imobiliaria,3,1,1,68,39,estacionamento visitantes e playground,0,1,0,1,0,0,0,0,0,0,175000
2089,Apartamento,Torre,Imobiliaria,3,2,0,86,0,nenhum,0,0,0,0,0,0,0,0,0,0,350000
2090,Apartamento,Madalena,Imobiliaria,3,1,1,120,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,520000
2091,Apartamento,Boa Viagem,Imobiliaria,3,1,1,100,0,estacionamento visitantes,0,1,0,0,0,0,0,0,0,0,450000
2092,Apartamento,Boa Viagem,Imobiliaria,2,1,1,43,0,nenhum,0,0,0,0,0,0,0,0,0,0,380000
2093,Apartamento,Boa Viagem,Imobiliaria,1,0,1,46,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,480000
2094,Apartamento,Casa Amarela,Imobiliaria,3,1,1,60,0,nenhum,0,0,0,0,0,0,0,0,0,0,440000
2095,Apartamento,Boa Viagem,Imobiliaria,2,1,1,65,0,piscina e esquina,0,0,1,0,0,0,0,0,0,0,380000
2096,Apartamento,Boa Viagem,Imobiliaria,4,4,4,289,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,3500000
2097,Apartamento,Santana,Imobiliaria,4,2,3,263,0,copa e salao de festas,0,0,0,0,0,1,0,0,0,0,900000
2098,Casa,Prado,Imobiliaria,5,1,6,285,415,churrasqueira e copa,1,0,0,0,0,0,0,0,0,0,1000000
2099,Apartamento,Campo Grande,Imobiliaria,2,0,1,75,0,nenhum,0,0,0,0,0,0,0,0,0,0,240000
2100,Apartamento,Gracas,Imobiliaria,3,2,2,102,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,620000
2101,Apartamento,Boa Viagem,Imobiliaria,4,3,2,1304,0,piscina e quadra poliesportiva,0,0,1,0,1,0,0,0,0,0,850000
2102,Apartamento,Boa Viagem,Imobiliaria,4,2,2,150,88,salao de festas,0,0,0,0,0,1,0,0,0,0,850000
2103,Apartamento,Madalena,Imobiliaria,3,0,1,70,0,piscina e salao de festas,0,0,1,0,0,1,0,0,0,0,270000
2104,Apartamento,Madalena,Imobiliaria,4,2,3,220,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,1000000
2105,Apartamento,Cordeiro,Imobiliaria,2,1,1,61,0,esquina,0,0,0,0,0,0,0,0,0,0,320000
2106,Apartamento,Torre,Imobiliaria,3,1,1,79,0,salao de festas,0,0,0,0,0,1,0,0,0,0,450000
2107,Apartamento,Casa Amarela,Imobiliaria,3,1,2,79,0,playground e salao de festas,0,0,0,1,0,1,0,0,0,0,450000
2108,Casa,Barro,Imobiliaria,5,2,8,400,545,nenhum,0,0,0,0,0,0,0,0,0,0,950000
2109,Apartamento,Casa Amarela,Imobiliaria,3,1,2,77,0,piscina e esquina,0,0,1,0,0,0,0,0,0,0,530000
2110,Apartamento,Iputinga,Imobiliaria,2,1,1,60,0,nenhum,0,0,0,0,0,0,0,0,0,0,249000
2111,Apartamento,Madalena,Imobiliaria,3,1,1,67,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,474000
2112,Apartamento,Boa Viagem,Imobiliaria,2,1,1,47,0,piscina e copa,0,0,1,0,0,0,0,0,0,0,305000
2113,Apartamento,Gracas,Imobiliaria,3,1,1,113,0,copa e esquina,0,0,0,0,0,0,0,0,0,0,430000
2114,Apartamento,Boa Viagem,Imobiliaria,5,1,2,213,83,nenhum,0,0,0,0,0,0,0,0,0,0,650000
2115,Apartamento,Rosarinho,Imobiliaria,3,1,2,107,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,780000
2116,Apartamento,Poco da Panela,Imobiliaria,4,2,2,139,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1065000
2117,Apartamento,Madalena,Imobiliaria,4,4,3,203,0,nenhum,0,0,0,0,0,0,0,0,0,0,1250000
2118,Apartamento,Espinheiro,Imobiliaria,3,1,2,76,0,piscina e estacionamento visitantes,0,1,1,0,0,0,0,0,0,0,456000
2119,Apartamento,Casa Amarela,Imobiliaria,2,1,1,54,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,409000
2120,Apartamento,Campo Grande,Imobiliaria,2,1,1,61,19,piscina e playground,0,0,1,1,0,0,0,0,0,0,360000
2121,Casa,Ipsep,Pessoa Fisica,6,3,2,274,76,nenhum,0,0,0,0,0,0,0,0,0,0,959000
2122,Apartamento,Caxanga,Imobiliaria,3,1,1,64,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,395000
2123,Apartamento,Boa Viagem,Imobiliaria,3,1,0,73,26,piscina e sauna,0,0,1,0,0,0,0,0,1,0,460000
2124,Apartamento,Gracas,Imobiliaria,5,2,6,370,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,2750000
2125,Apartamento,Boa Viagem,Imobiliaria,4,4,0,155,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,2250000
2126,Apartamento,Espinheiro,Imobiliaria,4,2,2,230,0,nenhum,0,0,0,0,0,0,0,0,0,0,850000
2127,Apartamento,Torre,Imobiliaria,4,4,3,210,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1500000
2128,Apartamento,Casa Amarela,Imobiliaria,3,1,1,79,0,nenhum,0,0,0,0,0,0,0,0,0,0,400000
2129,Apartamento,Pina,Imobiliaria,4,4,3,173,0,nenhum,0,0,0,0,0,0,0,0,0,0,1307550
2130,Apartamento,Encruzilhada,Imobiliaria,2,1,1,59,0,nenhum,0,0,0,0,0,0,0,0,0,0,317000
2131,Apartamento,Gracas,Imobiliaria,4,2,3,150,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,1150000
2132,Apartamento,Rosarinho,Imobiliaria,3,1,1,120,0,estacionamento visitantes e salao de festas,0,1,0,0,0,1,0,0,0,0,450000
2133,Apartamento,Boa Viagem,Pessoa Fisica,3,3,2,265,20,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1490000
2134,Apartamento,Tamarineira,Imobiliaria,2,0,1,60,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,340000
2135,Apartamento,Espinheiro,Imobiliaria,3,1,1,60,0,piscina e campo de futebol,0,0,1,0,1,0,0,0,0,0,350000
2136,Apartamento,Campo Grande,Imobiliaria,3,1,1,60,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,320000
2137,Apartamento,Casa Forte,Imobiliaria,4,2,3,186,0,nenhum,0,0,0,0,0,0,0,0,0,0,950000
2138,Apartamento,Boa Viagem,Imobiliaria,3,1,1,58,10,piscina e sauna,0,0,1,0,0,0,0,0,1,0,450000
2139,Apartamento,Casa Forte,Imobiliaria,4,4,4,255,0,copa e playground,0,0,0,1,0,0,0,0,0,0,1657785
2140,Apartamento,Varzea,Imobiliaria,3,1,2,85,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,550000
2141,Apartamento,Boa Viagem,Imobiliaria,2,1,2,56,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,440000
2142,Apartamento,Madalena,Imobiliaria,3,1,1,65,0,salao de festas,0,0,0,0,0,1,0,0,0,0,325000
2143,Apartamento,Casa Forte,Imobiliaria,3,1,2,106,0,nenhum,0,0,0,0,0,0,0,0,0,0,630000
2144,Apartamento,Casa Amarela,Imobiliaria,2,0,1,55,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,295000
2145,Apartamento,Torre,Imobiliaria,3,0,1,85,0,salao de festas,0,0,0,0,0,1,0,0,0,0,300000
2146,Apartamento,Madalena,Imobiliaria,3,1,0,75,0,nenhum,0,0,0,0,0,0,0,0,0,0,340000
2147,Apartamento,Aflitos,Imobiliaria,3,1,2,114,0,playground e quadra poliesportiva,0,0,0,1,1,0,0,0,0,0,425000
2148,Apartamento,Imbiribeira,Imobiliaria,4,2,3,140,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,870000
2149,Apartamento,Poco,Imobiliaria,3,1,2,85,0,piscina e copa,0,0,1,0,0,0,0,0,0,0,550000
2150,Apartamento,Parnamirim,Imobiliaria,4,4,4,295,0,piscina e estacionamento visitantes,0,1,1,0,0,0,0,0,0,0,1600000
2151,Apartamento,Boa Viagem,Imobiliaria,3,1,1,137,0,nenhum,0,0,0,0,0,0,0,0,0,0,460000
2152,Apartamento,Torre,Imobiliaria,3,1,2,63,0,playground e quadra poliesportiva,0,0,0,1,1,0,0,0,0,0,388008
2153,Apartamento,Apipucos,Imobiliaria,3,3,2,149,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,1100000
2154,Apartamento,Tamarineira,Imobiliaria,3,1,1,65,0,salao de festas,0,0,0,0,0,1,0,0,0,0,240000
2155,Apartamento,Torre,Imobiliaria,2,1,1,53,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,287535
2156,Apartamento,Boa Viagem,Imobiliaria,4,4,4,312,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,3500000
2157,Apartamento,Torre,Imobiliaria,4,4,3,193,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1290000
2158,Apartamento,Boa Viagem,Imobiliaria,4,2,0,128,0,playground e salao de festas,0,0,0,1,0,1,0,0,0,0,1003680
2159,Apartamento,Encruzilhada,Imobiliaria,2,1,1,58,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,434100
2160,Apartamento,Pina,Imobiliaria,4,4,3,155,0,playground e quadra poliesportiva,0,0,0,1,1,0,0,0,0,0,2350000
2161,Casa,Campo Grande,Pessoa Fisica,3,0,1,80,20,nenhum,0,0,0,0,0,0,0,0,0,0,280000
2162,Apartamento,Boa Viagem,Imobiliaria,3,2,1,90,0,piscina e salao de festas,0,0,1,0,0,1,0,0,0,0,400000
2163,Apartamento,Ilha do Retiro,Imobiliaria,4,2,3,152,0,nenhum,0,0,0,0,0,0,0,0,0,0,1000000
2164,Apartamento,Encruzilhada,Imobiliaria,3,1,1,61,0,sauna e playground,0,0,0,1,0,0,0,0,1,0,360000
2165,Apartamento,Espinheiro,Imobiliaria,3,2,2,80,0,piscina e copa,0,0,1,0,0,0,0,0,0,0,450000
2166,Apartamento,Boa Viagem,Imobiliaria,4,1,2,160,0,estacionamento visitantes e playground,0,1,0,1,0,0,0,0,0,0,890000
2167,Apartamento,Boa Viagem,Imobiliaria,3,1,1,107,0,nenhum,0,0,0,0,0,0,0,0,0,0,350000
2168,Apartamento,Espinheiro,Imobiliaria,4,2,3,147,33,piscina e playground,0,0,1,1,0,0,0,0,0,0,850000
2169,Apartamento,Casa Amarela,Imobiliaria,4,2,3,166,0,piscina e copa,0,0,1,0,0,0,0,0,0,0,870000
2170,Apartamento,Madalena,Pessoa Fisica,3,1,0,102,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,560000
2171,Apartamento,Rosarinho,Imobiliaria,3,1,0,113,0,nenhum,0,0,0,0,0,0,0,0,0,0,665000
2172,Apartamento,Boa Viagem,Imobiliaria,2,1,1,48,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,335000
2173,Apartamento,Torre,Imobiliaria,2,1,1,43,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,340000
2174,Apartamento,Boa Viagem,Imobiliaria,4,4,4,405,15,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,3790000
2175,Apartamento,Boa Viagem,Imobiliaria,1,0,1,27,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,200000
2176,Apartamento,Boa Viagem,Imobiliaria,3,1,2,102,0,piscina e copa,0,0,1,0,0,0,0,0,0,0,750000
2177,Apartamento,Derby,Imobiliaria,4,1,2,256,0,frente para o mar e salao de festas,0,0,0,0,0,1,0,0,0,1,950000
2178,Apartamento,Varzea,Imobiliaria,2,0,1,55,0,nenhum,0,0,0,0,0,0,0,0,0,0,180000
2179,Apartamento,Boa Viagem,Imobiliaria,2,1,1,56,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,285000
2180,Casa,Cordeiro,Imobiliaria,3,3,4,247,203,churrasqueira,1,0,0,0,0,0,0,0,0,0,1000000
2181,Apartamento,Torre,Imobiliaria,3,1,1,75,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,455000
2182,Apartamento,Casa Forte,Imobiliaria,4,4,3,200,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,1100000
2183,Apartamento,Iputinga,Pessoa Fisica,3,0,1,59,16,churrasqueira e campo de futebol,1,0,0,0,1,0,0,0,0,0,170000
2184,Apartamento,Encruzilhada,Imobiliaria,2,1,1,69,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,310000
2185,Apartamento,Boa Viagem,Imobiliaria,2,1,1,60,0,piscina e frente para o mar,0,0,1,0,0,0,0,0,0,1,450000
2186,Apartamento,Rosarinho,Imobiliaria,4,2,3,126,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,840000
2187,Apartamento,Madalena,Imobiliaria,4,1,3,289,0,copa e salao de festas,0,0,0,0,0,1,0,0,0,0,1200000
2188,Apartamento,Casa Forte,Imobiliaria,3,1,2,128,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,720000
2189,Apartamento,Madalena,Imobiliaria,3,1,1,57,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,325000
2190,Apartamento,Boa Viagem,Imobiliaria,3,1,1,75,13,nenhum,0,0,0,0,0,0,0,0,0,0,350000
2191,Apartamento,Imbiribeira,Imobiliaria,2,1,1,63,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,325000
2192,Apartamento,Campo Grande,Imobiliaria,2,1,1,47,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,268500
2193,Apartamento,Boa Viagem,Imobiliaria,2,1,1,55,0,sala de ginastica e salao de festas,0,0,0,0,0,1,0,1,0,0,380000
2194,Apartamento,Espinheiro,Imobiliaria,3,1,2,82,0,piscina e playground,0,0,1,1,0,0,0,0,0,0,550000
2195,Apartamento,Espinheiro,Imobiliaria,2,0,1,61,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,280000
2196,Apartamento,Espinheiro,Imobiliaria,3,1,1,118,0,estacionamento visitantes e salao de festas,0,1,0,0,0,1,0,0,0,0,480000
2197,Apartamento,Espinheiro,Imobiliaria,4,1,2,170,0,copa,0,0,0,0,0,0,0,0,0,0,680000
2198,Apartamento,Torre,Imobiliaria,2,1,1,55,0,piscina e salao de festas,0,0,1,0,0,1,0,0,0,0,300000
2199,Apartamento,Casa Forte,Imobiliaria,3,1,2,115,0,piscina e salao de festas,0,0,1,0,0,1,0,0,0,0,600000
2200,Apartamento,Rosarinho,Imobiliaria,3,1,2,101,0,nenhum,0,0,0,0,0,0,0,0,0,0,740000
2201,Apartamento,Madalena,Imobiliaria,3,1,2,90,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,490000
2202,Apartamento,Boa Viagem,Imobiliaria,3,2,2,94,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,900000
2203,Apartamento,Boa Viagem,Imobiliaria,3,1,0,119,0,sauna e esquina,0,0,0,0,0,0,0,0,1,0,599000
2204,Apartamento,Madalena,Imobiliaria,3,1,2,96,0,sauna e salao de festas,0,0,0,0,0,1,0,0,1,0,630000
2205,Apartamento,Boa Viagem,Imobiliaria,4,4,3,181,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,2100000
2206,Apartamento,Cid Universitaria,Imobiliaria,2,1,1,55,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,270000
2207,Apartamento,Boa Viagem,Imobiliaria,4,2,2,126,0,nenhum,0,0,0,0,0,0,0,0,0,0,1100000
2208,Apartamento,Encruzilhada,Imobiliaria,3,2,2,72,0,piscina e churrasqueira,1,0,1,0,0,0,0,0,0,0,373000
2209,Apartamento,Madalena,Imobiliaria,3,1,1,75,0,piscina e sauna,0,0,1,0,0,0,0,0,1,0,400000
